outer_fold,inner_fold,hyperparameters,best_epoch,train_r2,train_corr,val_r2,val_corr
2,1,{'lr': 2e-06},1000,0.011938869953155518,0.11279185804322796,-0.0041283369064331055,0.009067353773320295
2,2,{'lr': 4e-06},201,0.031822800636291504,0.19578586358027233,-0.004797697067260742,0.06445372615606333
2,3,{'lr': 6e-06},135,0.02850472927093506,0.1870068411567088,0.003944694995880127,0.0676951553115618
2,4,{'lr': 8e-06},87,0.03612488508224487,0.21078427534466032,0.0025101304054260254,0.06967541725863427
2,5,{'lr': 1e-05},45,0.022730350494384766,0.16743374130934668,0.001459658145904541,0.049706772119160685
