outer_fold,hyperparameters,best_epoch,train_r2,train_corr,test_r2,test_corr,val_r2_mean,val_r2_std,val_corr_mean,val_corr_std
1,6e-06,44,0.0214378833770751,0.1555295301436742,0.007583737373352,0.0897137500835589,0.0037778735160827,0.0038536039382571,0.0705196330649793,0.020899881509495
2,8e-06,6,-0.0018504858016967,0.0456702742601711,-0.0051057338714599,0.0081944987179448,-8.987188339233398e-05,0.0069950104806836,0.0511003156309516,0.0397971720276838
3,8e-06,77,0.0422309041023254,0.2387965739909963,0.0070239901542663,0.0852938144175385,0.0039888620376586,0.0036888414624819,0.0690693554306748,0.0233478237842891
4,1e-05,59,0.0449284315109252,0.2322767875327585,0.0085168480873107,0.0954659261026611,0.0037556767463684,0.0052995880137082,0.0660533676731282,0.0295433278105514
5,2e-06,999,0.0386216640472412,0.2179546685631755,0.0087305903434753,0.0934538618189285,7.312297821044922e-05,0.0099088033014804,0.0449014631724744,0.0554148285329523
