outer_fold,inner_fold,hyperparameters,best_epoch,train_r2,train_corr,val_r2,val_corr
2,1,{'lr': 2e-06},1000,0.014050304889678955,0.12198545696631478,0.0015053749084472656,0.049821553096298425
2,2,{'lr': 4e-06},5,-0.009023427963256836,0.03528963473018635,7.426738739013672e-05,0.03387504767540705
2,3,{'lr': 6e-06},78,0.02854788303375244,0.19567399882807907,0.004088103771209717,0.06543262104407362
2,4,{'lr': 8e-06},91,0.05220860242843628,0.26115937927899086,0.0073767900466918945,0.10099061970388988
2,5,{'lr': 1e-05},33,0.024016737937927246,0.16887671012597666,0.0010117292404174805,0.047759062301289575
