outer_fold,inner_fold,hyperparameters,best_epoch,train_r2,train_corr,val_r2,val_corr
4,1,{'lr': 2e-06},438,0.032097697257995605,0.1986205303246337,0.009300827980041504,0.09852049712116778
4,2,{'lr': 4e-06},989,0.01956242322921753,0.15171433748350183,0.0019239187240600586,0.05019122664103201
4,3,{'lr': 6e-06},76,0.017950356006622314,0.1515219419780899,-0.005063891410827637,0.015036467520906916
4,4,{'lr': 8e-06},71,0.024988174438476562,0.17682216247696628,0.005563795566558838,0.07737583077654414
4,5,{'lr': 1e-05},55,0.01848602294921875,0.14358169792585448,0.0015924572944641113,0.05012507944535399
