outer_fold,inner_fold,hyperparameters,best_epoch,train_r2,train_corr,val_r2,val_corr
5,1,{'lr': 2e-06},321,0.02925264835357666,0.1868197093861014,0.007913351058959961,0.08960287122956424
5,2,{'lr': 4e-06},98,0.011902153491973877,0.11056675427322589,-0.0013971328735351562,0.05756954272456041
5,3,{'lr': 6e-06},16,0.0005524754524230957,0.04941962398276235,0.0016314387321472168,0.04510301698923879
5,4,{'lr': 8e-06},151,0.05089759826660156,0.25693457548845444,0.012744247913360596,0.11383378692644071
5,5,{'lr': 1e-05},49,0.02077728509902954,0.14783210455799006,-0.007098197937011719,0.009423485176569974
