outer_fold,hyperparameters,best_epoch,train_r2,train_corr,test_r2,test_corr,val_r2_mean,val_r2_std,val_corr_mean,val_corr_std
1,1e-05,107,0.0397523045539855,0.2098103586131115,0.0070291757583618,0.0921007570622896,0.0052647590637207,0.0035326075181876,0.0773134991386635,0.0212816406524862
2,6e-06,1000,0.0280413627624511,0.1787563832624177,0.0084666013717651,0.0987950109289036,0.0032973885536193,0.003607103086286,0.0600911303116198,0.0280687909245432
3,4e-06,204,0.0264096856117248,0.1763559251221091,0.0072877407073974,0.0879794621046398,0.0073060393333435,0.0035283295597639,0.0889994103355538,0.0226487819011073
4,8e-06,256,0.0137385129928588,0.1248136872114838,0.0001798272132873,0.0353535185615794,0.0053200006484985,0.0005303561330762,0.075687269039246,0.0032919893526349
5,1e-05,62,0.018627643585205,0.1419428272838838,-0.0004147291183471,0.0390803537382567,0.0046144366264343,0.0079193952523576,0.0742641392591173,0.0457176872346325
