Data Type,Subset Type,Target,Outer Fold,Feature,Mean Gradient,Std Gradient
SMRI,FTPC,cbcl,3,F94,-0.007025653,0.0049169436
SMRI,FTPC,cbcl,3,F95,0.0010173812,0.0041412804
SMRI,FTPC,cbcl,3,F96,-0.007263138,0.0062014
SMRI,FTPC,cbcl,3,F97,0.0024586944,0.0052009
SMRI,FTPC,cbcl,3,F98,0.006590414,0.0051867864
SMRI,FTPC,cbcl,3,F99,0.005878832,0.00578705
SMRI,FTPC,cbcl,3,F100,5.288984e-05,0.006523262
SMRI,FTPC,cbcl,3,F101,0.0009327793,0.0053310376
SMRI,FTPC,cbcl,3,F102,0.004697122,0.004997005
SMRI,FTPC,cbcl,3,F103,0.0011260667,0.0051816786
SMRI,FTPC,cbcl,3,F104,-0.0049792454,0.0050946013
SMRI,FTPC,cbcl,3,F105,-0.0017892567,0.0058685658
SMRI,FTPC,cbcl,3,F106,0.0084318025,0.005119937
SMRI,FTPC,cbcl,3,F107,-0.00013822688,0.005915871
SMRI,FTPC,cbcl,3,F108,0.002486163,0.005251113
SMRI,FTPC,cbcl,3,F109,0.003933826,0.0047107516
SMRI,FTPC,cbcl,3,F110,0.0039301696,0.0049792994
SMRI,FTPC,cbcl,3,F111,0.0020270345,0.006208755
SMRI,FTPC,cbcl,3,F112,0.0019390468,0.0052061463
SMRI,FTPC,cbcl,3,F113,0.00388341,0.0050152433
SMRI,FTPC,cbcl,3,F114,-0.0031028416,0.0048398743
SMRI,FTPC,cbcl,3,F115,0.0014604117,0.005618431
SMRI,FTPC,cbcl,3,F116,-0.011838706,0.004884889
SMRI,FTPC,cbcl,3,F117,-0.002287874,0.0051858686
SMRI,FTPC,cbcl,3,F118,-0.0070274402,0.0048127496
SMRI,FTPC,cbcl,3,F119,0.007349965,0.0053592115
SMRI,FTPC,cbcl,3,F120,0.004230008,0.0048454106
SMRI,FTPC,cbcl,3,F121,-0.0018193122,0.0048276847
SMRI,FTPC,cbcl,3,F122,0.0059396992,0.0051444108
SMRI,FTPC,cbcl,3,F123,0.0028480897,0.0046050074
SMRI,FTPC,cbcl,3,F124,-0.0019447854,0.005241266
SMRI,FTPC,cbcl,3,F125,-0.0006654482,0.00472112
SMRI,FTPC,cbcl,3,F126,-0.009058296,0.0055957446
SMRI,FTPC,cbcl,3,F127,-0.00022278627,0.0053165285
SMRI,FTPC,cbcl,3,F128,-0.005072323,0.0046260115
SMRI,FTPC,cbcl,3,F129,-0.0044512874,0.00448015
SMRI,FTPC,cbcl,3,F130,-0.0025804862,0.005338046
SMRI,FTPC,cbcl,3,F131,-0.0070809727,0.0055254246
SMRI,FTPC,cbcl,3,F132,-0.010284818,0.005452236
SMRI,FTPC,cbcl,3,F133,-0.008930461,0.0056386683
SMRI,FTPC,cbcl,3,F134,-0.0049586603,0.005891036
SMRI,FTPC,cbcl,3,F135,0.0001226491,0.0053029903
SMRI,FTPC,cbcl,3,F136,-0.0077674547,0.0061264164
SMRI,FTPC,cbcl,3,F137,0.004949901,0.004772947
SMRI,FTPC,cbcl,3,F138,0.0012323726,0.0057978854
SMRI,FTPC,cbcl,3,F139,-0.00045848644,0.0061006793
SMRI,FTPC,cbcl,3,F140,0.010804744,0.005239325
SMRI,FTPC,cbcl,3,F141,0.0068132044,0.0054160515
SMRI,FTPC,cbcl,3,F142,-0.0023889882,0.0049448763
SMRI,FTPC,cbcl,3,F143,-0.00071703625,0.0058577163
SMRI,FTPC,cbcl,3,F144,-0.0019482874,0.0049738646
SMRI,FTPC,cbcl,3,F145,-0.00016461684,0.006066767
SMRI,FTPC,cbcl,3,F146,-0.0032418359,0.005410284
SMRI,FTPC,cbcl,3,F147,-0.007931252,0.0045360886
SMRI,FTPC,cbcl,3,F148,0.0055316677,0.005742385
SMRI,FTPC,cbcl,3,F149,-0.0034854268,0.005205444
SMRI,FTPC,cbcl,3,F150,-0.008318269,0.0055296826
SMRI,FTPC,cbcl,3,F151,-0.0015920328,0.00458924
SMRI,FTPC,cbcl,3,F152,0.008888323,0.004320892
SMRI,FTPC,cbcl,3,F153,-0.005231452,0.0044390517
SMRI,FTPC,cbcl,3,F154,0.0042077582,0.005126636
SMRI,FTPC,cbcl,3,F155,-0.008189896,0.004001977
SMRI,FTPC,cbcl,3,F156,0.00021998955,0.005106709
SMRI,FTPC,cbcl,3,F157,0.0011327202,0.0065713963
SMRI,FTPC,cbcl,3,F158,-0.0035279877,0.0057057478
SMRI,FTPC,cbcl,3,F159,0.0012176199,0.005686663
SMRI,FTPC,cbcl,3,F160,0.008302864,0.005304759
SMRI,FTPC,cbcl,3,F161,0.0032366035,0.005027096
SMRI,FTPC,cbcl,3,F162,0.004004271,0.004825728
SMRI,FTPC,cbcl,3,F163,0.0048271623,0.0050548348
SMRI,FTPC,cbcl,3,F164,0.008346955,0.0054652663
SMRI,FTPC,cbcl,3,F165,-0.0015543127,0.0072116763
SMRI,FTPC,cbcl,3,F166,0.001872439,0.0051862877
SMRI,FTPC,cbcl,3,F167,-0.0054921512,0.004947135
SMRI,FTPC,cbcl,3,T1,0.002490817,0.0041929036
SMRI,FTPC,cbcl,3,T2,-0.0030501448,0.0047849626
SMRI,FTPC,cbcl,3,T3,-0.0003891452,0.0045522097
SMRI,FTPC,cbcl,3,T4,0.0012308334,0.007315221
SMRI,FTPC,cbcl,3,T5,-0.0018800006,0.0051594973
SMRI,FTPC,cbcl,3,T6,-0.0020334665,0.004785734
SMRI,FTPC,cbcl,3,T7,0.00073599454,0.0055477275
SMRI,FTPC,cbcl,3,T8,0.0023395421,0.005362741
SMRI,FTPC,cbcl,3,T9,-0.010635704,0.0046683215
SMRI,FTPC,cbcl,3,T10,-0.004052298,0.0054180785
SMRI,FTPC,cbcl,3,T11,-0.0014238319,0.0052909297
SMRI,FTPC,cbcl,3,T12,-0.0005457398,0.0048614372
SMRI,FTPC,cbcl,3,C1,0.0008351583,0.0046993513
SMRI,FTPC,cbcl,3,C2,0.0068094023,0.0050194045
SMRI,FTPC,cbcl,3,C3,0.01251515,0.005804555
SMRI,FTPC,cbcl,3,C4,-0.0073793125,0.005690029
SMRI,FTPC,cbcl,3,C5,0.0013574036,0.0054073525
SMRI,FTPC,cbcl,3,C6,-0.00552974,0.005273734
SMRI,FTPC,cbcl,3,C7,-0.002190713,0.0045411433
SMRI,FTPC,cbcl,3,C8,0.0011077716,0.004603879
SMRI,FTPC,cbcl,3,C9,-0.0035190962,0.0055238926
SMRI,FTPC,cbcl,3,C10,0.006669441,0.0050275936
SMRI,FTPC,cbcl,3,C11,0.0033370445,0.0052646645
SMRI,FTPC,cbcl,3,C12,-0.0016932696,0.004254528
SMRI,FTPC,cbcl,3,C13,0.004407025,0.00527256
SMRI,FTPC,cbcl,3,C14,0.008120201,0.0048425123
SMRI,FTPC,cbcl,3,C15,0.004867659,0.0049071475
SMRI,FTPC,cbcl,3,C16,-0.007499456,0.004360052
SMRI,FTPC,cbcl,3,C17,-0.00019758323,0.0047510867
SMRI,FTPC,cbcl,3,C18,0.0027578634,0.0048363763
SMRI,FTPC,cbcl,3,C19,0.0031844713,0.005863192
SMRI,FTPC,cbcl,3,C20,0.0021185481,0.004319192
SMRI,FTPC,cbcl,3,C21,0.0027449063,0.0045835185
SMRI,FTPC,cbcl,3,C22,-0.0102823125,0.0054499544
SMRI,FTPC,cbcl,3,C23,-0.00023453127,0.005026572
SMRI,FTPC,cbcl,3,C24,-0.0047428347,0.005454017
SMRI,FTPC,cbcl,3,C25,-0.00084829354,0.00534227
SMRI,FTPC,cbcl,3,C26,-0.0024251165,0.0047129416
SMRI,FTPC,cbcl,3,C27,0.008320249,0.0058357045
SMRI,FTPC,cbcl,3,C28,0.00041335454,0.0044787433
SMRI,FTPC,cbcl,3,C29,0.001349232,0.0048974
SMRI,FTPC,cbcl,3,C30,0.005892991,0.0048323055
SMRI,FTPC,cbcl,3,C31,0.003938696,0.0054131495
SMRI,FTPC,cbcl,3,R1,0.016061222,0.0048920605
SMRI,FTPC,cbcl,3,P1,-0.0027313689,0.005067478
SMRI,FTPC,cbcl,3,P2,-0.0015523426,0.006015571
SMRI,FTPC,cbcl,3,P3,0.005604956,0.0051402
SMRI,FTPC,cbcl,3,P4,0.002821912,0.005775536
SMRI,FTPC,cbcl,3,P5,0.002719275,0.0048111463
SMRI,FTPC,cbcl,3,P6,0.0004345685,0.0058819233
SMRI,FTPC,cbcl,3,P7,-0.004538933,0.005313289
SMRI,FTPC,cbcl,3,P8,0.0070320484,0.0048079006
SMRI,FTPC,cbcl,3,P9,0.0005656269,0.0058602025
SMRI,FTPC,cbcl,3,P10,-0.0018609464,0.0053716893
SMRI,FTPC,cbcl,3,P11,-0.0058643892,0.005204514
SMRI,FTPC,cbcl,3,P12,-0.008671158,0.0051045106
SMRI,FTPC,cbcl,3,P13,0.0036062833,0.00534102
SMRI,FTPC,cbcl,3,P14,-0.0038692558,0.005454815
SMRI,FTPC,cbcl,3,P15,-0.0068721534,0.005144693
SMRI,FTPC,cbcl,3,P16,-0.0033078294,0.0048346194
SMRI,FTPC,cbcl,3,P17,-0.0038071056,0.0051707467
SMRI,FTPC,cbcl,3,P18,-0.006113903,0.0049498193
SMRI,FTPC,cbcl,3,P19,-0.009430758,0.0064608776
SMRI,FTPC,cbcl,3,P20,-0.0028312567,0.004479371
SMRI,FTPC,cbcl,3,P21,-0.007158961,0.004908719
SMRI,FTPC,cbcl,3,P22,0.0059354524,0.004775399
SMRI,FTPC,cbcl,3,P23,-0.0015590545,0.0042095585
SMRI,FTPC,cbcl,3,P24,-0.0025041183,0.0048825964
SMRI,FTPC,cbcl,3,P25,-0.007928003,0.0060025193
