epoch,train_loss,train_r2,test_loss,test_r2,test_corr
1,1.000028979498893,-0.0029281945586712155,1.0053008557994987,0.005344504741470191,0.07764589879410005
2,0.9997824933379889,-0.0026810010458584443,1.0034924458735974,0.007133762420284073,0.08849181362550694
3,0.9965926145669073,0.0005181226374882941,1.0021126214442106,0.008498971021185242,0.09656534162267806
4,0.9944806592538953,0.0026362078938897415,1.0009028035992817,0.009695985120131145,0.1034502287362447
5,0.9938744674436748,0.0032441553063425888,0.9997622174364931,0.010824484738704343,0.10954027859878214
6,0.9916223215404898,0.005502822882102465,0.9989308988018232,0.011647008426229122,0.11366431887002842
7,0.9919179929420352,0.0052062936754515565,0.998239976071683,0.012330616074813117,0.11724315785334967
8,0.98984575108625,0.0072845515662781635,0.9975984189613905,0.012965382957606408,0.12062106917350925
9,0.9883755198679864,0.00875904437552455,0.9970416853403452,0.01351621131194125,0.12305286088522005
10,0.986151956487447,0.010989054095708717,0.996544990555841,0.014007657382200778,0.12548940878020448
11,0.9877957419957966,0.009340509059634905,0.9960704587505409,0.014477141432680418,0.1275071417345537
12,0.9883445082232356,0.008790138037902961,0.9956668001550066,0.014876537049940186,0.12982980697837163
13,0.9854863304644823,0.011656612655797982,0.995292128906883,0.015247237392712165,0.13143204447935125
14,0.9832509511616081,0.013898464869633642,0.9949638510169256,0.015572061211566846,0.13259822613466501
15,0.9877421115525067,0.009394288949375773,0.9947293512759527,0.015804059420501115,0.13407158534750171
16,0.9851072060409933,0.012036833266735658,0.9944286579152559,0.016101566732431127,0.1350186742575609
17,0.9838162823580205,0.013331497694288763,0.9942622908503326,0.016266179841282202,0.13650611021094405
18,0.9856527743395418,0.011489690657795038,0.9940137571681121,0.01651207387467568,0.1374262550847858
19,0.9813038103748113,0.015851253617031436,0.9937755924250918,0.01674773500843696,0.13832887812574216
20,0.982401913497597,0.014749971753811097,0.9934918650654597,0.017028447877810438,0.1391500559603393
21,0.9823716757819057,0.014780297102198525,0.9932638734884527,0.017254034013307495,0.13994483985453818
22,0.9812397048808634,0.015915546331930708,0.9931599979810217,0.017356802743093147,0.14072958079555503
23,0.9805305697955191,0.016626746443749174,0.9929466372643988,0.01756790996441082,0.14119088118674275
24,0.9825297212228179,0.014621787734759972,0.9927749844397958,0.017737734540867245,0.14185873250219697
25,0.981134794652462,0.01602076305078015,0.9926060393358103,0.01790490686691426,0.1426624778608029
26,0.9780605351552367,0.01910392951996609,0.9924311780999381,0.01807789956860284,0.14288423175183465
27,0.9816954848356545,0.015458445152169542,0.9923422985858833,0.01816583272290051,0.14361172620515655
28,0.9790299499873072,0.018131710615422403,0.9922225102382267,0.01828435976847187,0.14428525149816313
29,0.9791997787542641,0.017961386605257812,0.9920456402472836,0.01845936269520032,0.14468434066271793
30,0.9799405224621296,0.017218485749778023,0.9918877496668163,0.01861558369548466,0.14549167834746465
31,0.9798491969704628,0.01731008421908986,0.9918132630600005,0.018689266821136252,0.14618928385762128
32,0.9792131837457418,0.0179479443964059,0.991700741999204,0.018800606597083824,0.14711164134509297
33,0.977352537214756,0.019813983734494944,0.9915149851855328,0.018984386370654915,0.14764089403477254
34,0.9792326970491558,0.017928375323453705,0.991438448167301,0.01906011658633322,0.14854716018792793
35,0.976238876581192,0.020930874899045993,0.9912963159029632,0.019200740605292532,0.14907674555853692
36,0.9786588589195162,0.018503875111253065,0.9911802228105656,0.01931560475099614,0.14951626570126458
37,0.9774137870408595,0.01975255374047924,0.9911511444708031,0.019344372016414813,0.15024238070129003
38,0.9796157237142324,0.01754423972538388,0.9910371992982498,0.01945711634509939,0.15080393188862437
39,0.9775247750803828,0.019641250087432338,0.9908252771800178,0.019666789995019363,0.15095838817464527
40,0.9783138539642096,0.01884987561117979,0.9907038980370443,0.019786884843471242,0.15170064795792293
41,0.9768778877332807,0.02029001037785716,0.9905603999565612,0.01992886991541798,0.15216948991931478
42,0.9781461418606341,0.019018078297727503,0.9904717152266458,0.020016610690810066,0.1526513853244765
43,0.977985818637535,0.019178866262181682,0.9903614281909882,0.020125726856006443,0.15303461417701283
44,0.9755622129887342,0.02160949528592937,0.9902019109186049,0.020283568458290158,0.1536909067607385
45,0.9771185682620853,0.020048640384098815,0.9900890964598351,0.020395187618323818,0.15437686063260905
46,0.9758167373947799,0.021354239903765615,0.9899471307626988,0.020535651695419155,0.15516906127035776
47,0.9745897469110787,0.022584790911653996,0.9897137829709367,0.020766520917176123,0.1553439936514298
48,0.9746163047384471,0.022558150038885394,0.98954126350818,0.02093721891245548,0.1557052214452292
49,0.9769048353191465,0.020262984802168593,0.9894631626316255,0.021014488649429786,0.15602603774008478
50,0.9762759911827743,0.020893646860257076,0.9893463517817828,0.021130058398522444,0.15652335726572159
51,0.974689579103142,0.02248467173808688,0.9892542564095143,0.021221174564752476,0.15700277932042261
52,0.9761275432538241,0.02104253109613652,0.9891809015637086,0.02129376404395189,0.157468748423707
53,0.9719974300824106,0.02518462379407993,0.9889966495564183,0.021476063667720258,0.15774433286605866
54,0.975529775954783,0.0216420296041816,0.9888899938951998,0.02158158999716664,0.15836370968218091
55,0.97299913642928,0.02418000532373421,0.9887344224561185,0.021735502654035233,0.15871474838982427
56,0.9748518387787044,0.022321933373819047,0.9886060302696209,0.0218625430449213,0.1595435920391285
57,0.972442721715197,0.024738041274620648,0.9884788284888205,0.021988406753399636,0.15999942445115328
58,0.9752853913232684,0.02188713087711458,0.988415618475732,0.02205094012765052,0.16063811374317344
59,0.9729796936735511,0.024199502184655164,0.9882760804824681,0.022188996933053984,0.16109581321133074
60,0.9730439074337482,0.024135102707216083,0.9882124089333649,0.022251996557891895,0.16162885667368126
61,0.9715767093002796,0.025606558676161906,0.9879826667426329,0.02247930459380587,0.16194746387455383
62,0.9743193665053695,0.02285594846132033,0.9879602333462605,0.022501508868026376,0.16268770265802127
63,0.9728203509002924,0.024359315001505566,0.9877939910176557,0.02266598617487159,0.16279328126235232
64,0.970526244957,0.026660064395603866,0.9877523546279379,0.02270717740585193,0.16330545522677484
65,0.9718402256257832,0.02534228559168472,0.9876603995840278,0.022798160116828003,0.16385789617088423
66,0.9724647826515138,0.024715907285722927,0.9875136040780182,0.022943409105717794,0.16426180145781707
67,0.9716309374198318,0.025552171643165367,0.9873723428152782,0.023083169613901444,0.1644351053660524
68,0.9724813746288419,0.024699267840195382,0.9872566623301434,0.02319762570383077,0.16484788928560082
69,0.9690520495641977,0.02813853517370013,0.9870764631478015,0.023375911824449536,0.165107643890361
70,0.9722992568276823,0.02488191960617514,0.9870009127915226,0.023450665721820196,0.1655230147476709
71,0.9700339010450989,0.02715383545305372,0.9868715024680961,0.02357870488238467,0.16595484883959905
72,0.9695875667966902,0.027601463954060157,0.9867544891544526,0.02369446685098875,0.16631794316685766
73,0.970834890846163,0.026350520387440124,0.986572253232819,0.023874785262679943,0.16633774145033284
74,0.9692938432563096,0.027896044511494078,0.9864289118872438,0.02401662074321298,0.16662138913490387
75,0.968776382971555,0.028415001619652047,0.9862911272421298,0.02415293792578077,0.16691076370863145
76,0.9724918813444674,0.024688735496348535,0.9861858618323427,0.024257070015126225,0.167131227180769
77,0.9668821161612868,0.03031475931724359,0.9860901929158127,0.024351742731502424,0.16738762634747845
78,0.9699370195157826,0.027251003826285758,0.9859723799865149,0.024468316210893848,0.16806148002959378
79,0.9702478132676333,0.026939309437518322,0.9858842413270689,0.024555527825315893,0.16843227335869682
80,0.9700779621489346,0.02710965600852555,0.9858239426038043,0.024615174057994627,0.16909153758289666
81,0.9686367635149509,0.028555024878319957,0.9856792385837635,0.02475834413983513,0.16952769984426025
82,0.9670817763544619,0.03011451990277325,0.9856179737358224,0.024818968860761625,0.17016061453048423
83,0.9700314858928323,0.02715625521144327,0.9855162157786654,0.024919642544092957,0.1705554934528981
84,0.9675311502069235,0.029663849426481814,0.9854105584152505,0.02502418504764692,0.17074832276444002
85,0.9648673762567341,0.032335340519892286,0.9852548539783967,0.025178224847949182,0.1709059718329756
86,0.9669316215440631,0.030265110110218485,0.9850769219251887,0.025354282524335026,0.17125001777579874
87,0.9705374934710562,0.026648784558141903,0.984959994542302,0.025469951038856964,0.17191102300685504
88,0.9673927486874163,0.02980265294892004,0.9847832979837122,0.025644798050769135,0.1722047316073645
89,0.9675954594276845,0.029599347921104968,0.9847802217557059,0.02564783368803425,0.1730133650067653
90,0.9650770863518119,0.0321250224253129,0.9846101668824679,0.02581607567931976,0.17337771719263284
91,0.9681354742497206,0.029057772716079566,0.9845259570098028,0.025899406256013058,0.1735495688701129
92,0.9666105641517788,0.030587098087648035,0.9844458915944098,0.02597864713654996,0.17414430887946894
93,0.9659691057167947,0.031230421416332144,0.9842997293695699,0.0261232467215472,0.1740528577681623
94,0.967942989198491,0.029250814357634547,0.9842343988972445,0.026187883233078413,0.17451548635600392
95,0.9651982951909304,0.03200346525237452,0.9841176534990616,0.026303391756266614,0.17488342160916875
96,0.9665230682585388,0.030674852932948582,0.9841066217236312,0.026314315771973407,0.17539997430172244
97,0.9648942099884152,0.03230842042742044,0.9840043420731119,0.02641550957498351,0.17567939476520236
98,0.9676865371875465,0.029508005378003244,0.9839025330927501,0.02651624614403114,0.17617065741266671
99,0.9655672572553158,0.031633434239866864,0.9837944737988719,0.026623139992327682,0.1764698582174227
100,0.9670182897243649,0.030178194201597952,0.9836371341759312,0.026778812698405097,0.17647158272852512
101,0.9659544141031802,0.03124514709692272,0.9835699216629482,0.026845327862407342,0.17706603501081528
102,0.9644037527032197,0.032800307058750144,0.9834276020614154,0.026986138300913676,0.1769919356199935
103,0.9641104964539409,0.03309441189976392,0.9832683449666519,0.02714370810758615,0.17727730868712677
104,0.9662564098834991,0.03094228415072664,0.983273921157163,0.027138187348521137,0.1778070032833806
105,0.9650315414182842,0.03217069880921364,0.983179033180747,0.027232069457798214,0.17817247517710974
106,0.9645401025190949,0.03266357109447904,0.9830082874870579,0.027401004816033248,0.17819220151276183
