epoch,train_loss,train_r2,val_loss,val_r2,val_corr
1,1.0243202355301495,-0.012057469499628715,0.9356249689764915,0.009640469942770902,0.12184850532981287
2,1.0147977471351624,0.0018991386762240436,0.9273604324054543,0.018388475108498725,0.15773544626755584
3,1.0094940234156489,0.0009176250903393246,0.923534611618468,0.022438131586239862,0.16273013122086782
4,1.000369334394492,0.0064693647437228385,0.9217090900894198,0.024370421772413553,0.16718584169940656
5,1.0040700227311514,0.00543518906169671,0.9205631805746347,0.025583372071021016,0.16884560842788354
6,1.0003358478685027,0.012045215275240828,0.9195496649404645,0.02665617111934382,0.1709661668014115
7,1.0000410270922393,0.011347283866152025,0.9187612984513567,0.027490671245346432,0.17119385690490774
8,0.9955659421902259,0.011687249601756267,0.9181392011735554,0.02814914718186501,0.17457625667335833
9,0.9952593526793915,0.013628716061700685,0.9177478729332998,0.0285633619244402,0.17573507622664417
10,0.996220819001059,0.015521077402762429,0.9172811468539258,0.02905743043093223,0.17775735096199444
11,0.9962551119258103,0.011448084949270632,0.9168766204215464,0.02948559606835366,0.1774655266757512
12,0.9970424522473974,0.01436707954757599,0.9166135039905574,0.02976410976668431,0.1791587162879314
13,0.989499014558144,0.019155406803281316,0.9161848294218551,0.030217853684379348,0.18144547685618337
14,0.9916823133102899,0.017730576467352765,0.915829879689173,0.030593573467639912,0.18200855680563718
15,1.0021941389852358,0.014726379295086467,0.9155172922758157,0.030924443001773883,0.1841498677796042
16,0.9881734078370251,0.02079541435771759,0.9149593782904965,0.03151500172373767,0.1841911385985693
17,0.9887120451742005,0.02044423455518196,0.9146533498973509,0.031838937778470466,0.18618455209843424
18,0.9898742038069419,0.021048104865647677,0.9143473501609839,0.03216284615617926,0.1872405223297256
19,0.9888806279423168,0.019061396181704104,0.9142800904833158,0.03223403247169421,0.18953842225721043
20,0.9891505154591163,0.01998082957496239,0.9140358429772596,0.03249255797039663,0.1903815456196951
21,0.9888250399561762,0.022192016296034178,0.9136764938108364,0.032872932947632716,0.19071255149967548
22,0.9835366676154645,0.024095545564754683,0.9132374010848301,0.03333770434676597,0.19077118838823065
23,0.9804603159427643,0.025458683021851947,0.912875956809688,0.03372030539813953,0.19099517940985605
24,0.9874444129397568,0.02423396797141464,0.9123850539008461,0.034239930750771475,0.19254600744814007
25,0.9872492777491079,0.028771968807825177,0.9120962395764037,0.034545629712333215,0.1941519372801989
26,0.9865419430640138,0.023920924872831484,0.9116504040704114,0.03501754420271663,0.19517573072332348
27,0.9770543320665082,0.031785962018198055,0.9111873990810084,0.03550762975522748,0.19693937315535853
28,0.9805859292595132,0.027797923709144245,0.9108518236217301,0.03586284578180465,0.19749447379608848
29,0.9843309255479609,0.024773072775466476,0.9106476648760103,0.03607894490818875,0.19800908832406436
30,0.9787969239128446,0.027843869756354778,0.9102402505458601,0.03651020222186163,0.19948239612327906
31,0.9816204101136587,0.029014758690875775,0.909897343678908,0.036873167053430245,0.2012844890614923
32,0.9843520695723377,0.025083036132555137,0.9095649656324287,0.03722498222691406,0.20199740397043314
33,0.984602951309056,0.023673843989698518,0.9096003287517858,0.03718756417046987,0.2035431812284325
34,0.9783086791200545,0.02987262585941164,0.9092750022366252,0.03753193171743119,0.20414042861129472
35,0.9778319741915731,0.030611675215654333,0.9089446949333297,0.03788153075178258,0.20413970650957455
36,0.977735693593627,0.030409817975053488,0.9087680844434374,0.03806849602214646,0.20551338665575422
37,0.9816836196820713,0.03304127404215251,0.9084445587231518,0.03841093918177674,0.2053933235481756
38,0.9768215354206493,0.033444970103873706,0.9080839246929674,0.03879267545355214,0.2062911280454676
39,0.9743499588040472,0.03288869664866367,0.9076452518905933,0.03925701591433739,0.20603485944347305
40,0.970340519564823,0.036211694414081674,0.9074145125280872,0.039501247423611496,0.20667343224694168
41,0.9731596199054162,0.033476270303472444,0.9070469372297221,0.03989031620436945,0.20866777025570285
42,0.9802580551036353,0.03313217456241713,0.9068951635116335,0.040050977122129905,0.20936356464782885
43,0.972547980188166,0.037065558252405095,0.9066147190030571,0.040347826704852596,0.20934210240001183
44,0.9713624449609553,0.035789326891800144,0.9063841249973328,0.040591904501861675,0.20926082879008115
45,0.9736853322936493,0.03447950316085002,0.9063654260856484,0.040611707343755965,0.2097567740422576
46,0.9755992918338591,0.032718339080677894,0.906073204950271,0.040921027423878154,0.20878903903314497
47,0.9717986820970924,0.038749065717376796,0.9059117740796353,0.04109188482346904,0.20993988625479781
48,0.9734838957925445,0.03715349249038846,0.90556313243852,0.04146092971203719,0.2105519594827833
49,0.9687358511304393,0.041216815467245316,0.9052273261248883,0.041816382286870346,0.21131029705193236
50,0.9741033518198624,0.03733990386977748,0.9050467871834114,0.04200749758345823,0.21351201821105179
51,0.9733203791298912,0.04008234470230687,0.9049615538505754,0.042097700290866236,0.21421306020390996
52,0.9687595668348293,0.04011866639588424,0.9047059384404776,0.04236828203698184,0.21370895114076738
53,0.9724332192569103,0.040903273996571565,0.9044268725847893,0.042663654109364235,0.21284414429010107
54,0.9693218741602111,0.039138737252591316,0.904175046815459,0.042930215393446436,0.21345192674878163
55,0.9703171507826129,0.04173707964949347,0.9040443005905128,0.04306861170115661,0.21415010414408175
56,0.9625103650162521,0.044262584342890876,0.9036217858836446,0.04351584463914837,0.21422623975489452
57,0.9663116095714199,0.04139840206397949,0.9034364581326292,0.04371202323496681,0.21470545679114206
58,0.9685300791147843,0.039755679236463504,0.9033992667617123,0.04375137339634527,0.21489448684621804
59,0.9642773496294484,0.04628693142341467,0.903151886575174,0.04401322144631603,0.21519674399350977
