fold,train_r2,train_corr,val_r2,val_corr
1,0.17484104337732664,0.22768792924251371,0.04059989705335243,0.22768792924251371
2,0.17624370852747306,0.19481935671273978,0.01726465791375753,0.19481935671273978
3,0.17331798220989036,0.21708167849053756,0.03798853489175513,0.21708167849053756
4,0.18041815201164746,0.18664308451356046,0.010834796987153394,0.18664308451356046
5,0.18574328432708076,0.20160353209686424,0.025313216469025734,0.20160353209686424
