fold,train_r2,train_corr,val_r2,val_corr
1,0.11772314655216065,0.23426746065548532,0.052010275157145514,0.23426746065548532
2,0.09781139242809445,0.22380345476950816,0.04734183613460974,0.22380345476950816
3,0.1258906978600186,0.21528751534348264,0.04095284684336642,0.21528751534348264
4,0.09858502488920318,0.20481141511395806,0.035442343354047834,0.20481141511395806
5,0.12587178803404153,0.22644323908673297,0.04890633981276049,0.22644323908673297
