outer_fold,inner_fold,hyperparameters,best_epoch,train_r2,train_corr,val_r2,val_corr
1,1,{'lr': 1.2e-05},114,0.10415816307067871,0.3305638504702395,0.04343879222869873,0.21094882419143507
1,2,{'lr': 1.4e-05},88,0.09159451723098755,0.3115507551657269,0.047228872776031494,0.21742203106168753
1,3,{'lr': 1.6e-05},89,0.10922586917877197,0.3404181558890463,0.04514455795288086,0.2155979351906139
1,4,{'lr': 1.8e-05},77,0.10816121101379395,0.33938682103080703,0.037296414375305176,0.19997290863345582
1,5,{'lr': 2e-05},89,0.11814987659454346,0.34981158863861944,0.041202664375305176,0.21147489544782702
