outer_fold,inner_fold,hyperparameters,best_epoch,train_r2,train_corr,val_r2,val_corr
1,1,{'lr': 1.2e-05},160,0.12381738424301147,0.35820644432571325,0.045255959033966064,0.21812345896336177
1,2,{'lr': 1.4e-05},100,0.09857434034347534,0.3218077179149821,0.04616689682006836,0.21522489656289434
1,3,{'lr': 1.6e-05},102,0.10687488317489624,0.3337100555481086,0.04034709930419922,0.20777232004202945
1,4,{'lr': 1.8e-05},73,0.09983170032501221,0.32433584049786507,0.026618480682373047,0.1744936519947337
1,5,{'lr': 2e-05},75,0.1037759780883789,0.331641540780552,0.06154912710189819,0.24871978686853854
