outer_fold,best_hyperparams,train_r2,train_corr,val_r2,val_corr,test_r2,test_corr
1,"{'batch_size': 64, 'lr': 2e-05}",0.09707342505453476,0.3448607007949604,0.004829807157394494,0.08364531270187867,-0.0009960410289999722,0.09484347664758623
2,"{'batch_size': 64, 'lr': 1e-05}",0.04205305601555587,0.24648833336769807,0.0046502668384805325,0.07186084197061404,0.008464187411223234,0.10493397928782788
3,"{'batch_size': 64, 'lr': 2e-05}",0.09022411393674323,0.3426128152301804,0.006017398823031983,0.08635993920905474,0.0048288795723469,0.10012474676868467
4,"{'batch_size': 64, 'lr': 2e-05}",0.10369298492405532,0.36618629290381577,0.003542933729334474,0.07069078299678404,0.007388373832929118,0.11307177017381764
5,"{'batch_size': 64, 'lr': 2e-05}",0.1039127031581899,0.36164008956673954,0.005058960858504036,0.08385893527787888,-0.00809081269990819,0.07402497875752968
