outer_fold,best_hyperparams,train_r2,train_corr,val_r2,val_corr,test_r2,test_corr
1,"{'batch_size': 32, 'lr': 2e-05}",0.1724560341423209,0.4559595350856797,0.006997337233922973,0.09866439685563952,0.007673718927449613,0.14428087615699095
2,"{'batch_size': 32, 'lr': 2e-05}",0.17087970460116575,0.4623932374322902,0.006023824629118213,0.09210925728521599,0.0036818145914881972,0.13094326325522432
3,"{'batch_size': 32, 'lr': 2e-05}",0.16259567000072506,0.4456301991380113,0.0035832402240056015,0.08078601376801718,0.018459393574420946,0.15700719032626806
4,"{'batch_size': 32, 'lr': 2e-05}",0.1703469500206779,0.4535691627537107,0.012427558857146016,0.11633001335518348,-0.03011163451496479,0.0707942503985288
5,"{'batch_size': 32, 'lr': 1e-05}",0.07074333026977131,0.3166306010826914,0.005341616677115612,0.0769679617172179,0.00562517642369853,0.09824987854134903
