fold,epoch,train_loss,val_loss,train_r2,val_r2
1,1,109.2746189236641,65.28928222078265,-108.59142114129696,-65.29886491126564
1,2,106.25638896226883,56.21954374602347,-105.56444064430053,-56.08308064070365
1,3,99.9686039686203,61.30648075450551,-99.25842647368455,-61.180550113719896
1,4,96.0408952832222,48.26111709710324,-95.3193309458188,-48.0123581424152
1,5,93.99070397019386,54.69217268625895,-93.26319539090073,-54.47467540334329
1,6,90.70748257637024,48.06243133544922,-89.97045560279736,-47.770256072001594
1,7,86.47640603780746,48.69092397978812,-85.72711264695167,-48.33903137563781
1,8,85.63507759571075,44.51361404765736,-84.88334512027335,-44.10495129430387
1,9,81.98221999406815,44.4405010396784,-81.21989770485364,-43.991977712608666
1,10,80.07333841919899,45.61996838540742,-79.30548211827741,-45.189948399591316
1,11,77.08767715096474,42.049185088186555,-76.31116491529576,-41.61157297536345
1,12,75.79886510968208,40.98064223202792,-75.01861649416857,-40.53360484751376
1,13,75.21573695540428,40.38363800626813,-74.433797594616,-39.86071706046914
1,14,71.56933867931366,37.1610514756405,-70.77682749816749,-36.661292808190865
1,15,69.12940979003906,34.75255376642401,-68.3298250131387,-34.198275813722574
1,16,67.9367233812809,35.90898797006318,-67.13368096714541,-35.34479686852491
1,17,65.44706523418427,35.49159344759855,-64.6368048176852,-34.92171074130346
1,18,64.00831803679466,35.10813146648985,-63.193886920084665,-34.4825769718222
1,19,63.04231184720993,32.41501970002145,-62.225079757288874,-31.79480592082885
1,20,60.60579612851143,29.426468762484465,-59.78150059555389,-28.720713102837916
1,21,58.80648076534271,30.44102515596332,-57.976968989350404,-29.756876965360657
1,22,57.945717960596085,30.107535766832758,-57.11371085483823,-29.36616661993991
1,23,55.015405774116516,29.874514406377617,-54.174902882174784,-29.13765890798786
1,24,55.70692500472069,28.582955418211043,-54.86842700631791,-27.86912291933798
1,25,52.635929733514786,27.275586012637977,-51.78852881649344,-26.584874725419567
1,26,52.48674422502518,26.000617171778824,-51.638910423669834,-25.240609322731146
1,27,50.35589191317558,28.230184497255266,-49.501880328673714,-27.50091707960332
1,28,48.88186940550804,24.966074524503767,-48.02358459405046,-24.227838441050157
1,29,48.261867970228195,24.12483449415727,-47.40178569600718,-23.327375813238152
1,30,46.48424954712391,22.7400010137847,-45.61901378344743,-21.92465277288243
