outer_fold,inner_fold,hyperparameters,best_epoch,train_r2,train_corr,val_r2,val_corr
4,1,{'lr': 1.2e-05},17,0.015268146991729736,0.12547427808153797,0.008404195308685303,0.09416371543466896
4,2,{'lr': 1.4e-05},117,0.09379971027374268,0.3196066298952909,0.030775845050811768,0.17763360677884252
4,3,{'lr': 1.6e-05},88,0.07768076658248901,0.28841091534596325,0.026754915714263916,0.16590759414770725
4,4,{'lr': 1.8e-05},85,0.076518714427948,0.28563810329319994,0.04557323455810547,0.2177103443474097
4,5,{'lr': 2e-05},65,0.08068525791168213,0.3001607206510346,0.022744834423065186,0.15373945915274745
