outer_fold,inner_fold,hyperparameters,best_epoch,train_r2,train_corr,val_r2,val_corr
3,1,{'lr': 1.2e-05},88,0.06220841407775879,0.2547614148342387,0.02674877643585205,0.16450222908606332
3,2,{'lr': 1.4e-05},141,0.09799140691757202,0.3236435227246199,0.025328338146209717,0.16764829845287868
3,3,{'lr': 1.6e-05},81,0.06278824806213379,0.25847694384573755,0.024659335613250732,0.158723892808937
3,4,{'lr': 1.8e-05},100,0.08540850877761841,0.30064892356227146,0.0434306263923645,0.20866547250336615
3,5,{'lr': 2e-05},74,0.07915371656417847,0.2924629173428601,0.03615570068359375,0.19057088275652442
