outer_fold,inner_fold,hyperparameters,best_epoch,train_r2,train_corr,val_r2,val_corr
5,1,{'lr': 1.2e-05},63,0.07184553146362305,0.27847920773137086,0.025422275066375732,0.16259625021764595
5,2,{'lr': 1.4e-05},49,0.07152330875396729,0.2774961501348925,0.007259845733642578,0.11452518300282451
5,3,{'lr': 1.6e-05},69,0.09649485349655151,0.3245192566998833,0.040449321269989014,0.2023183634492554
5,4,{'lr': 1.8e-05},97,0.1584397554397583,0.41022411079790777,0.0518108606338501,0.23211687525873764
5,5,{'lr': 2e-05},65,0.114321768283844,0.35493846615814134,0.04503244161605835,0.21934977496988847
