outer_fold,inner_fold,hyperparameters,best_epoch,train_r2,train_corr,val_r2,val_corr
5,1,{'lr': 1.2e-05},30,0.014495670795440674,0.12466970635877009,-3.8743019104003906e-05,0.04945625419339471
5,2,{'lr': 1.4e-05},151,0.10649269819259644,0.35133907441606466,0.020132124423980713,0.15284008431643037
5,3,{'lr': 1.6e-05},66,0.044572412967681885,0.2399595514526216,0.006729245185852051,0.10039741968178102
5,4,{'lr': 1.8e-05},56,0.04227966070175171,0.23056693529654165,0.0036935806274414062,0.07075626543420457
5,5,{'lr': 2e-05},59,0.0595012903213501,0.2773065889279981,0.011915624141693115,0.11642657371697414
