outer_fold,inner_fold,hyperparameters,best_epoch,train_r2,train_corr,val_r2,val_corr
5,1,{'lr': 1.2e-05},103,0.07276016473770142,0.3099543326120135,0.004176974296569824,0.08266387238504028
5,2,{'lr': 1.4e-05},105,0.09395456314086914,0.3478183743943099,0.011895298957824707,0.13681478615679005
5,3,{'lr': 1.6e-05},100,0.09668207168579102,0.3472457187822661,0.02902388572692871,0.17106705793532184
5,4,{'lr': 1.8e-05},42,0.04655057191848755,0.24062988371843463,-0.004998445510864258,0.06290073057315379
5,5,{'lr': 2e-05},38,0.04332822561264038,0.22549780737313835,-0.002296924591064453,0.04320938566518841
