outer_fold,hyperparameters,best_epoch,train_r2,train_corr,test_r2,test_corr,val_r2_mean,val_r2_std,val_corr_mean,val_corr_std
1,1.2e-05,85,0.0730199217796325,0.3009677939785192,0.0186163783073425,0.1378878397244947,0.0092504978179931,0.0050443313085359,0.0985833554992378,0.0246261626710879
2,1.6e-05,28,0.0301486849784851,0.194565786388401,0.0027582049369812,0.0606176571401648,0.0100518941879272,0.0074978157393509,0.1099990543376025,0.031372309742993
3,1.8e-05,64,0.0678005814552307,0.2975248144207323,0.0136859416961669,0.1195731891950962,0.0060867428779602,0.0110867159689561,0.0821189657506556,0.0526172479210096
4,1.4e-05,77,0.0708246231079101,0.2934363190349897,0.013392150402069,0.1230650066029584,0.0117624402046203,0.0075804130242686,0.1084117483162981,0.0337872137091196
5,1.6e-05,67,0.0715084075927734,0.3003498142486792,0.0105445981025695,0.1201673630764031,0.0063372135162353,0.0061180071677839,0.0996197243494746,0.0188592805433311
